"Year","ex","Type"
1960,75.369770704545,"Observed"
1961,75.5909498561613,"Observed"
1962,75.8121290077778,"Observed"
1963,76.0333081593944,"Observed"
1964,76.2544873110109,"Observed"
1965,76.4756664626274,"Observed"
1966,76.696845614244,"Observed"
1967,76.9180247658605,"Observed"
1968,77.139203917477,"Observed"
1969,77.3603830690936,"Observed"
1970,77.5815622207101,"Observed"
1971,77.8027413723266,"Observed"
1972,78.0239205239431,"Observed"
1973,78.2450996755597,"Observed"
1974,78.4662788271762,"Observed"
1975,78.6874579787927,"Observed"
1976,78.9086371304093,"Observed"
1977,79.1298162820258,"Observed"
1978,79.3509954336423,"Observed"
1979,79.5721745852588,"Observed"
1980,79.7933537368754,"Observed"
1981,80.0145328884919,"Observed"
1982,80.2357120401084,"Observed"
1983,80.456891191725,"Observed"
1984,80.6780703433415,"Observed"
1985,80.899249494958,"Observed"
1986,81.1204286465746,"Observed"
1987,81.3416077981911,"Observed"
1988,81.5627869498076,"Observed"
1989,81.7839661014242,"Observed"
1990,82.0051452530407,"Observed"
1991,82.2263244046572,"Observed"
1992,82.4475035562737,"Observed"
1993,82.6686827078903,"Observed"
1994,82.8898618595068,"Observed"
1995,83.1110410111233,"Observed"
1996,83.3322201627399,"Observed"
1997,83.5533993143564,"Observed"
1998,83.7745784659729,"Observed"
1999,83.9957576175894,"Observed"
2000,84.216936769206,"Observed"
2001,84.4381159208225,"Observed"
2002,84.659295072439,"Observed"
2003,84.8804742240556,"Observed"
2004,85.1016533756721,"Observed"
2005,85.3228325272886,"Observed"
2006,85.5440116789052,"Observed"
2007,85.7651908305217,"Observed"
2008,85.9863699821382,"Observed"
2009,86.2075491337548,"Observed"
2010,86.4287282853713,"Observed"
2011,86.6499074369878,"Observed"
2012,86.8710865886043,"Observed"
2013,87.0922657402209,"Observed"
2014,87.3134448918374,"Observed"
2015,87.5346240434539,"Observed"
2016,87.7558031950705,"Observed"
2017,87.976982346687,"Observed"
2018,88.1981614983035,"Forecast"
2019,88.41934064992,"Forecast"
2020,88.6405198015366,"Forecast"
2021,88.8616989531531,"Forecast"
2022,89.0828781047696,"Forecast"
2023,89.3040572563862,"Forecast"
2024,89.5252364080027,"Forecast"
2025,89.7464155596192,"Forecast"
2026,89.9675947112357,"Forecast"
2027,90.1887738628523,"Forecast"
2028,90.4099530144688,"Forecast"
2029,90.6311321660853,"Forecast"
2030,90.8523113177019,"Forecast"
2031,91.0734904693184,"Forecast"
2032,91.2946696209349,"Forecast"
2033,91.5158487725515,"Forecast"
2034,91.737027924168,"Forecast"
2035,91.9582070757845,"Forecast"
2036,92.1793862274011,"Forecast"
2037,92.4005653790176,"Forecast"
2038,92.6217445306341,"Forecast"
2039,92.8429236822506,"Forecast"
2040,93.0641028338672,"Forecast"
2041,93.2852819854837,"Forecast"
2042,93.5064611371002,"Forecast"
2043,93.7276402887168,"Forecast"
2044,93.9488194403333,"Forecast"
2045,94.1699985919498,"Forecast"
2046,94.3911777435663,"Forecast"
2047,94.6123568951829,"Forecast"
2048,94.8335360467994,"Forecast"
2049,95.0547151984159,"Forecast"
2050,95.2758943500325,"Forecast"
2051,95.497073501649,"Forecast"
2052,95.7182526532655,"Forecast"
2053,95.9394318048821,"Forecast"
2054,96.1606109564986,"Forecast"
2055,96.3817901081151,"Forecast"
2056,96.6029692597317,"Forecast"
2057,96.8241484113482,"Forecast"
2058,97.0453275629647,"Forecast"
2059,97.2665067145812,"Forecast"
2060,97.4876858661978,"Forecast"
2061,97.7088650178143,"Forecast"
2062,97.9300441694308,"Forecast"
2063,98.1512233210474,"Forecast"
2064,98.3724024726639,"Forecast"
2065,98.5935816242804,"Forecast"
2066,98.8147607758969,"Forecast"
2067,99.0359399275135,"Forecast"
2068,99.25711907913,"Forecast"
2069,99.4782982307465,"Forecast"
2070,99.6994773823631,"Forecast"
